N,P,K,pH,EC,OC,Cu,Fe,Mn,Rainfall,Humidity,Temperature,Label
257.1,15.1,227.3,8.1,0.06,1.3,0.42,11.4,3.1,52.0,61.8,20.6671,Rice
310.4,35.6,259.8,7.5,0.04,0.97,0.38,10.4,4.6,56.8,61.92,18.258,Rice
291.6,41.4,201.6,7.0,0.06,0.78,0.39,8.47,4.3,43.97,75.5,20.3553,Rice
266.5,14.2,318.0,7.4,0.03,0.19,0.48,12.4,4.2,46.12,76.46,20.7829,Rice
275.9,50.9,212.8,7.9,0.09,0.22,0.36,12.6,3.4,51.77,71.41,17.2838,Rice
370.1,41.4,268.8,6.5,0.14,0.39,0.49,11.2,3.1,44.98,72.77,18.0231,Rice
437.5,27.8,81.7,6.9,0.09,0.86,0.41,15.1,4.2,61.54,68.55,21.0549,Rice
581.3,25.5,118.7,7.0,0.08,1.4,0.38,18.2,4.1,59.82,57.01,20.9828,Rice
578.6,12.6,162.4,6.8,0.1,1.23,0.31,12.7,3.7,64.43,57.55,21.1022,Rice
581.6,18.3,99.9,6.2,0.15,1.58,1.09,11.9,3.5,58.18,72.64,17.9371,Rice
563.4,14.5,141.5,8.0,0.12,0.96,0.41,11.5,4.3,50.96,72.4,19.3567,Rice
186.7,15.7,73.9,7.9,0.16,0.21,0.41,26.2,6.7,58.81,63.88,17.518,Rice
284.5,20.8,245.2,7.6,0.16,0.53,0.39,21.4,7.2,48.21,63.13,17.8209,Rice
281.8,10.9,101.9,7.0,0.09,0.49,0.4,18.9,7.4,43.57,57.82,19.1476,Rice
180.4,8.7,110.8,7.4,0.07,0.27,0.38,19.7,7.8,58.1,67.95,20.5787,Rice
567.3,12.3,192.6,8.1,0.19,1.2,0.51,14.5,5.3,53.64,72.33,15.4167,Rice
245.5,11.2,71.6,8.2,0.11,0.31,0.36,11.5,3.9,47.72,57.29,16.2812,Rice
578.9,9.0,157.9,7.1,0.08,1.45,0.45,23.2,6.5,57.9,70.08,20.7476,Rice
581.5,4.2,80.6,6.9,0.03,1.3,0.53,22.1,5.9,72.9,79.83,22.453,Rice
346.3,21.8,388.6,6.2,0.1,0.55,0.43,14.5,4.1,43.41,61.54,20.7979,Rice
172.4,43.0,525.8,6.3,0.18,0.22,0.53,18.9,6.1,52.1,77.82,17.9366,Rice
414.5,5.4,84.3,6.7,0.07,0.79,0.41,21.4,4.2,63.6,79.04,18.6033,Rice
407.6,54.8,248.6,7.5,0.08,1.2,0.49,13.9,3.5,79.43,76.3,17.165,Rice
409.3,29.1,196.0,7.9,0.1,1.0,0.54,15.2,4.6,51.43,67.56,22.3522,Rice
313.6,31.4,427.8,6.7,0.08,0.78,0.81,8.41,4.51,44.87,76.51,20.3543,Rice
308.4,38.1,314.5,7.0,0.04,0.68,1.41,7.61,3.47,49.52,59.24,18.7436,Rice
476.5,22.7,412.5,6.7,0.07,0.63,0.75,10.01,4.12,54.66,57.75,17.6215,Rice
421.4,28.5,256.4,6.8,0.08,0.72,0.81,11.07,5.21,55.56,77.0,22.7712,Rice
388.4,31.4,289.5,6.9,0.09,0.84,0.79,12.41,3.15,55.65,61.06,16.8274,Rice
156.7,16.7,278.4,7.0,0.1,0.27,0.84,13.15,2.79,48.19,61.66,16.0697,Rice
279.4,17.8,512.5,6.7,0.07,0.41,0.91,8.91,5.41,57.57,58.21,20.8679,Rice
327.4,21.9,381.4,6.6,0.05,0.53,1.08,7.81,3.71,36.66,58.82,19.0692,Rice
212.5,10.6,145.6,6.8,0.34,0.36,0.65,15.0,0.53,58.57,75.8,22.2972,Rice
191.9,19.0,77.1,8.4,0.06,0.17,0.24,16.7,0.32,39.67,75.03,21.4469,Rice
219.5,42.5,43.6,8.1,0.18,0.17,0.82,5.78,2.8,40.31,73.59,21.5653,Rice
210.4,36.5,139.5,7.2,0.05,0.16,2.7,17.7,5.6,56.55,69.35,17.9153,Rice
334.1,38.9,399.4,8.1,0.07,1.34,0.88,9.2,5.7,60.61,68.15,21.6467,Rice
156.8,24.7,141.1,8.2,0.08,0.22,0.69,10.4,4.2,45.56,68.65,20.2947,Rice
219.5,5.1,80.1,6.8,0.08,0.1,0.58,8.8,2.32,67.38,61.43,22.1819,Rice
242.8,5.5,76.3,7.6,0.08,0.24,0.65,6.45,2.42,51.43,64.92,15.0289,Rice
125.4,5.1,78.5,7.8,0.09,0.27,0.58,6.17,6.7,56.92,77.04,16.0495,Rice
344.9,50.6,347.5,8.2,0.12,1.01,0.61,21.4,6.1,58.3,70.74,21.5981,Rice
221.4,6.4,224.1,7.7,0.09,0.15,0.99,5.6,0.9,63.5,76.61,22.046,Rice
345.5,5.3,504.1,8.2,0.02,0.52,0.56,17.8,1.3,71.74,62.52,22.3673,Rice
212.5,9.6,100.3,7.0,0.07,0.37,1.04,14.6,4.44,51.49,70.19,20.4204,Rice
567.8,14.1,106.4,7.2,0.04,0.91,0.71,11.7,4.2,52.45,73.27,19.8157,Rice
309.5,33.6,258.4,7.5,0.11,0.57,0.53,15.8,4.5,71.05,63.92,20.6469,Rice
209.1,12.8,278.5,8.2,0.14,0.34,0.52,10.9,4.5,57.95,75.83,21.2655,Rice
269.3,9.6,257.4,8.1,0.13,0.44,0.43,9.7,4.0,53.5,72.97,20.1358,Rice
540.1,18.1,439.1,8.0,0.12,0.92,0.37,14.2,7.1,54.95,59.4,15.4654,Rice
173.4,9.1,258.1,7.5,0.08,0.18,0.54,10.2,5.4,54.41,71.46,21.5668,Rice
323.1,8.3,233.2,6.8,0.09,0.69,0.46,9.3,4.3,49.79,70.99,17.8683,Rice
175.1,7.1,276.3,7.1,0.08,0.35,0.44,10.2,4.2,60.35,70.91,16.0547,Rice
281.7,43.6,267.6,8.2,0.46,1.61,0.29,8.9,2.9,62.88,72.59,15.2241,Rice
240.1,35.8,206.8,6.4,0.04,0.3,0.27,11.7,3.1,64.36,78.79,16.1641,Rice
384.5,11.4,103.7,8.3,0.12,0.65,0.43,15.7,7.1,56.3,59.08,19.1241,Rice
397.8,10.9,112.7,8.2,0.11,0.73,0.38,13.4,6.5,51.56,56.92,21.4912,Rice
156.2,68.8,374.8,7.2,0.11,0.25,0.31,24.5,4.5,60.52,62.47,15.1809,Rice
578.9,72.3,143.3,6.3,0.21,1.0,0.38,19.2,4.7,57.24,75.19,16.6255,Rice
548.9,64.2,235.5,7.9,0.09,0.85,0.41,12.3,3.8,50.95,70.62,21.2881,Rice
163.0,4.0,215.0,8.0,0.24,1.1,0.81,6.9,3.4,72.6,57.19,15.157,Rice
288.5,122.0,1439.2,7.7,0.82,1.8,0.34,1.3,3.2,44.96,76.62,17.4399,Rice
316.7,89.6,672.0,7.5,0.73,2.6,0.28,1.2,3.1,55.07,76.94,20.2413,Rice
287.1,104.1,705.6,7.6,0.47,2.7,0.22,4.5,4.1,56.67,65.57,16.3154,Rice
282.8,75.0,498.4,7.8,0.42,1.3,0.26,4.3,2.1,61.65,57.27,16.2063,Rice
316.7,109.7,834.4,7.7,0.57,1.3,0.26,2.3,2.3,46.17,68.99,20.5716,Rice
376.3,3.1,97.4,8.0,0.06,0.92,0.34,12.1,4.0,66.46,62.17,16.7564,Rice
567.3,12.3,192.6,8.1,0.19,1.2,0.74,11.9,4.7,55.03,71.76,22.7009,Rice
313.6,32.7,89.6,8.3,0.08,0.54,0.7,14.0,0.58,55.53,61.05,15.3867,Rice
214.5,22.4,67.2,8.0,0.07,0.3,1.4,14.0,0.46,41.81,66.13,18.4672,Rice
348.4,26.2,59.3,7.9,0.1,0.57,0.6,9.0,0.38,56.2,78.92,22.3855,Rice
233.4,23.9,168.0,8.1,0.05,0.28,0.5,9.0,0.3,48.84,63.84,20.2545,Rice
178.9,18.3,79.5,8.2,0.06,0.27,0.78,16.0,0.86,48.49,76.3,21.9137,Rice
230.7,15.5,61.6,8.3,0.04,0.37,0.52,9.0,0.54,59.76,69.81,19.9559,Rice
323.4,5.2,104.1,8.0,0.39,0.37,0.54,12.0,0.96,57.47,70.36,21.579,Rice
341.5,15.3,156.8,7.7,0.07,0.45,2.0,5.04,0.3,49.7,70.16,20.9798,Rice
589.9,29.4,123.2,7.8,0.22,1.2,0.8,6.0,0.24,60.1,55.14,17.0559,Rice
347.6,36.7,44.8,7.9,0.39,0.43,0.26,9.0,0.35,53.1,55.54,19.0979,Rice
458.7,28.1,88.5,8.2,0.09,0.78,0.94,12.0,0.61,57.13,61.13,20.863,Rice
414.8,24.5,114.5,8.6,0.11,0.65,0.86,17.0,0.58,53.52,75.02,20.6531,Rice
261.5,16.7,167.2,8.1,0.123,0.31,0.51,15.0,0.74,52.24,77.29,22.5331,Rice
212.5,12.9,128.4,7.9,0.08,0.27,0.61,6.0,0.39,61.43,75.57,15.3723,Rice
279.4,8.4,174.5,8.0,0.02,0.41,0.66,9.0,0.38,58.11,61.01,16.0736,Rice
428.9,28.4,97.8,8.2,0.09,0.61,0.54,12.0,0.56,65.27,70.14,15.8797,Rice
567.4,31.8,131.4,8.0,0.13,0.79,0.37,9.0,0.68,53.62,71.96,18.6985,Rice
589.5,27.6,126.5,7.8,0.12,1.21,0.43,4.81,0.71,44.42,66.35,20.033,Rice
238.4,33.8,138.5,8.1,0.08,0.32,0.56,5.97,0.91,46.82,65.39,17.0443,Rice
212.5,24.5,86.4,8.2,0.06,0.27,0.29,6.12,1.21,52.4,75.04,15.3347,Rice
324.5,36.7,77.5,7.8,0.14,0.54,0.61,15.0,2.46,64.36,57.08,20.0932,Rice
317.8,41.4,138.4,7.9,0.21,0.61,0.54,9.0,1.89,66.92,70.43,17.7101,Rice
228.9,18.4,156.7,8.0,0.09,0.29,0.38,4.28,0.98,63.03,67.55,18.3004,Rice
120.2,28.8,190.4,6.9,0.08,0.24,1.5,9.0,5.3,57.8,68.33,21.5754,Rice
184.0,12.1,134.1,8.6,0.08,0.13,1.6,6.7,0.48,58.16,56.34,18.3259,Rice
384.5,28.7,212.4,7.8,0.09,0.42,1.21,8.0,2.3,52.05,60.35,16.8902,Rice
213.5,29.5,269.5,7.7,0.05,0.21,0.89,9.4,0.61,50.41,69.64,22.5535,Rice
246.7,37.6,187.4,8.1,0.06,0.25,0.67,10.1,0.47,56.34,74.03,15.2393,Rice
413.5,26.4,186.4,8.0,0.08,0.46,0.84,7.8,2.3,54.74,60.41,22.3516,Rice
128.8,31.8,212.5,8.3,0.06,0.31,1.64,6.7,1.9,60.17,72.81,19.2113,Rice
313.5,18.7,341.5,8.2,0.08,0.57,0.98,6.7,1.4,46.37,63.33,19.7839,Rice
221.4,35.0,112.0,8.1,0.03,0.21,0.8,9.0,0.22,60.7,79.7,20.6266,Rice
314.5,42.9,100.8,5.4,0.04,0.72,1.3,10.8,0.8,69.47,79.13,16.0884,Rice
256.4,21.4,246.8,7.9,0.05,0.32,0.94,8.5,4.7,54.0,75.19,21.5664,Almond
125.4,33.1,246.4,8.8,0.04,0.16,0.5,9.0,1.2,57.94,71.06,22.4405,Almond
156.4,40.1,156.8,7.5,0.04,0.41,1.5,8.7,0.68,57.57,76.76,18.5892,Almond
121.5,30.1,272.0,9.2,0.03,0.14,1.1,4.4,0.46,61.67,60.87,16.9278,Almond
241.5,34.5,267.5,8.1,0.07,0.26,1.37,4.9,2.5,65.95,67.66,20.8107,Almond
188.1,40.5,148.5,6.3,0.01,0.15,0.8,6.4,0.28,56.52,71.59,16.7779,Almond
463.8,28.3,314.5,7.9,0.09,0.53,0.79,8.9,1.7,62.74,56.75,15.3356,Almond
689.9,22.8,218.1,7.0,0.13,0.76,1.21,14.1,2.3,53.02,58.79,20.0622,Almond
286.4,44.6,201.6,8.6,0.03,0.39,1.1,6.7,0.28,57.24,74.32,18.4242,Almond
304.5,36.4,234.5,8.2,0.07,0.38,0.54,6.7,0.97,52.12,77.04,19.5953,Almond
204.5,33.3,145.6,8.7,0.03,0.31,0.56,7.6,0.36,66.0,71.67,22.1822,Almond
213.5,31.4,212.4,7.1,0.09,0.15,0.31,8.0,0.84,54.63,77.05,20.6721,Almond
137.8,20.2,156.6,8.0,0.03,0.15,0.91,8.0,0.4,47.75,68.9,21.7858,Almond
157.4,27.8,156.5,8.2,0.05,0.18,0.47,9.0,0.37,59.27,59.57,16.6329,Almond
270.5,28.9,128.4,8.1,0.08,0.41,0.38,6.9,0.73,62.22,71.22,19.4689,Almond
270.5,28.9,128.4,8.3,0.08,0.41,0.38,6.9,0.73,53.37,56.51,22.8781,Almond
336.7,22.0,63.8,6.9,0.11,0.45,1.33,20.3,8.0,57.07,66.24,17.7701,Almond
586.2,63.2,104.1,7.0,0.09,1.33,0.94,14.3,4.2,53.96,67.84,19.6222,Almond
476.4,22.6,184.8,7.4,0.09,0.55,0.67,14.0,1.98,55.58,64.74,15.7823,Almond
258.4,24.5,190.4,7.1,0.14,0.3,1.3,14.4,1.0,54.78,61.47,18.9858,Almond
187.5,14.4,144.6,8.4,0.22,0.22,1.5,6.0,2.4,50.09,64.26,21.1815,Almond
153.2,27.2,101.1,8.6,0.12,0.33,1.03,4.5,2.7,44.1,77.9,21.4825,Almond
467.3,66.5,651.4,7.5,0.36,0.87,3.7,7.8,0.93,60.43,71.46,15.3093,Almond
453.3,73.5,556.3,6.9,0.08,0.85,1.68,11.1,2.8,52.17,79.11,18.9132,Almond
363.7,59.6,693.6,7.6,0.13,0.42,3.0,8.6,1.1,45.19,67.58,15.0954,Almond
212.4,45.7,614.8,6.7,0.12,0.15,0.57,13.7,6.2,59.46,63.63,21.3933,Almond
642.1,35.7,179.3,7.1,0.12,1.3,0.45,14.2,4.4,53.84,68.44,15.5767,Almond
194.5,19.9,178.9,8.2,0.14,0.26,0.44,13.7,5.7,53.33,68.19,15.813,Almond
201.5,28.5,125.6,8.1,0.12,0.29,0.41,12.5,5.3,61.45,63.41,22.4825,Almond
376.8,24.6,134.5,8.6,0.11,0.51,0.38,12.3,5.6,64.74,74.47,21.4689,Almond
197.4,31.5,148.5,8.0,0.15,0.36,0.48,14.6,4.3,56.25,72.53,19.0089,Almond
385.6,29.6,188.9,7.9,0.09,0.57,0.47,13.7,4.1,48.84,67.72,17.7632,Almond
178.9,37.5,125.6,7.8,0.1,0.31,0.33,12.9,3.3,67.61,77.61,22.545,Almond
125.6,21.5,118.9,7.4,0.13,0.28,0.34,13.3,3.7,45.19,72.48,20.5004,Almond
345.2,10.9,107.8,7.7,0.12,0.59,0.38,10.9,4.5,59.38,74.29,22.6669,Almond
156.5,12.1,189.5,7.8,0.21,0.14,0.34,14.6,7.2,51.97,74.26,21.0232,Almond
178.9,11.7,137.8,8.3,0.23,0.23,0.54,14.7,7.1,55.5,64.31,22.9981,Almond
212.5,9.8,168.9,8.5,0.18,0.35,0.56,18.9,6.9,56.42,56.55,19.7253,Almond
215.7,14.6,148.4,8.4,0.15,0.31,0.48,14.6,6.4,64.45,79.5,19.2115,Almond
346.5,17.5,188.9,8.6,0.16,0.46,0.45,1.1,5.6,43.82,69.12,15.7141,Almond
349.5,12.8,176.5,8.4,0.15,0.48,0.61,13.7,5.2,59.17,75.89,17.0871,Almond
351.4,13.9,138.9,8.5,0.13,0.44,0.57,13.8,5.1,49.79,64.47,22.8233,Almond
256.7,10.4,121.4,8.3,0.12,0.37,0.48,12.9,6.3,54.74,56.85,22.5633,Almond
249.4,9.9,118.9,8.1,0.11,0.33,0.43,17.8,6.5,58.94,73.48,15.9021,Almond
218.5,9.7,167.4,8.0,0.1,0.28,0.38,18.9,7.2,66.69,71.04,15.4318,Almond
261.4,8.7,154.5,8.1,0.09,0.39,0.44,13.2,6.5,74.56,67.85,21.3347,Almond
216.4,6.1,103.4,7.7,0.13,0.28,0.31,13.7,3.4,39.24,63.62,15.9116,Almond
378.9,9.4,132.7,8.1,0.12,0.67,0.37,14.7,4.7,50.97,55.01,20.932,Almond
312.4,31.4,392.7,6.0,0.07,0.66,0.37,12.2,5.9,46.49,73.49,15.8488,Almond
275.2,31.7,912.9,6.9,1.1,0.86,0.41,13.1,5.1,52.9,60.81,15.4332,Almond
412.0,17.0,515.2,8.0,0.09,0.78,0.38,12.7,5.2,50.04,75.32,19.6526,Almond
319.1,22.8,392.0,7.1,0.11,0.6,0.29,12.7,4.1,58.5,79.96,15.4701,Almond
297.4,8.5,812.0,7.8,0.09,0.6,0.48,14.5,5.1,64.65,65.62,19.1016,Almond
242.7,29.1,291.2,6.5,0.02,0.42,0.51,15.0,4.3,62.77,66.66,20.4833,Almond
312.7,12.6,380.8,7.4,0.09,0.62,0.42,11.2,4.7,58.38,79.36,16.5213,Almond
400.7,33.3,515.2,4.2,0.48,0.76,0.51,13.5,6.0,60.2,73.88,18.0905,Almond
317.2,22.8,165.7,6.3,0.06,0.52,0.43,12.5,4.0,60.19,66.82,15.0889,Almond
212.7,7.7,369.6,7.5,0.1,0.38,0.47,11.7,5.9,44.27,70.78,16.0508,Almond
311.1,13.4,212.1,7.0,0.19,0.62,0.51,10.5,5.2,69.99,57.78,18.605,Almond
293.1,22.1,218.8,6.6,0.03,0.59,0.92,4.5,3.2,66.52,72.62,16.3476,Almond
313.1,21.4,311.0,6.9,0.12,0.41,0.81,13.3,3.9,67.25,79.55,20.2813,Almond
379.8,24.1,319.9,7.0,0.26,0.49,1.0,14.2,3.4,60.78,59.53,18.0278,Almond
319.9,17.8,378.8,7.1,0.29,0.56,0.92,11.4,4.3,47.29,79.35,20.1115,Almond
349.5,22.4,212.1,7.2,0.21,0.61,0.81,13.0,4.3,69.48,63.13,20.1531,Almond
319.1,40.0,211.8,6.4,0.24,0.71,0.72,12.3,5.0,55.24,61.9,15.2747,Almond
412.4,30.1,190.1,6.5,0.91,0.48,0.75,14.3,4.3,56.37,77.97,16.2775,Almond
312.1,31.5,153.1,6.9,0.42,0.31,1.02,11.9,3.9,50.17,72.0,22.6921,Almond
319.5,20.4,191.8,6.9,0.51,0.42,1.03,12.0,4.0,43.53,55.46,16.885,Almond
315.1,40.1,256.8,7.0,0.28,0.56,0.75,11.0,5.9,70.08,55.08,19.1312,Almond
412.7,20.9,291.6,7.1,0.31,0.41,0.79,13.1,5.1,62.95,63.74,19.6943,Almond
378.1,21.8,313.1,6.2,0.31,0.7,0.89,12.9,3.7,76.67,77.92,18.7979,Almond
295.4,21.3,67.2,8.6,0.08,0.54,0.33,14.1,4.5,52.02,68.46,17.0306,Almond
125.4,18.9,142.4,8.3,0.12,0.15,0.46,14.5,3.4,65.71,55.88,16.7339,Almond
148.7,24.7,135.6,8.2,0.17,0.19,0.48,13.5,3.8,69.91,70.92,15.8175,Almond
172.4,12.8,138.9,8.4,0.16,0.31,0.51,13.9,4.2,59.53,55.24,20.9827,Almond
279.5,17.6,147.5,8.5,0.15,0.43,0.53,14.1,4.8,33.76,77.39,22.2769,Almond
579.5,54.7,132.1,8.3,0.18,1.2,0.37,2.0,0.41,60.7,79.49,18.6871,Almond
584.5,78.9,174.4,8.2,0.17,1.1,0.4,1.47,1.2,45.75,65.91,19.1294,Almond
591.4,6.9,297.7,6.8,0.06,1.4,0.94,7.1,4.2,53.83,57.5,19.2387,Almond
211.3,24.5,138.5,7.7,0.09,0.17,0.34,9.4,2.1,58.7,60.9,20.8319,Almond
217.4,27.6,134.2,8.1,0.08,0.14,0.29,7.6,2.4,63.7,55.97,20.3475,Almond
234.5,28.9,141.5,7.9,0.1,0.33,0.31,8.3,2.9,67.44,57.21,22.9111,Almond
389.7,49.4,439.7,6.4,0.09,0.62,0.48,21.4,6.9,51.29,69.47,22.386,Almond
346.4,33.0,246.8,7.4,0.25,0.78,0.35,14.2,4.1,58.69,73.92,17.3786,Almond
562.1,22.9,231.5,7.6,0.2,0.97,0.43,12.8,3.9,55.36,69.7,21.3756,Almond
128.5,103.0,353.9,7.8,0.34,1.0,0.91,4.6,4.1,72.16,62.32,16.02,Almond
116.0,3.5,39.8,7.3,0.05,0.4,1.0,23.8,8.3,50.36,56.39,21.2153,Almond
216.3,48.8,319.2,8.2,0.17,1.3,0.61,4.9,6.9,55.14,60.98,21.426,Almond
251.4,16.4,224.5,8.2,0.07,0.38,0.69,14.5,4.57,48.63,60.0,17.7549,Almond
156.4,18.9,168.5,8.3,0.07,0.23,0.41,11.4,5.48,69.75,68.75,22.197,Almond
297.5,22.5,415.5,8.1,0.09,0.53,0.78,12.4,5.31,68.45,66.94,16.5106,Almond
313.6,29.4,338.5,8.4,0.1,0.42,0.63,7.9,4.21,50.97,61.85,15.9445,Almond
540.5,31.4,423.4,7.9,0.1,1.1,0.57,12.07,4.27,48.18,78.27,16.5254,Almond
276.8,16.7,297.4,7.6,0.1,0.49,0.71,13.4,4.21,53.21,60.64,21.5024,Almond
278.4,35.6,237.7,8.5,0.07,0.43,0.34,9.78,3.47,42.7,69.43,16.2622,Almond
389.5,26.7,368.4,7.4,0.07,0.71,0.08,9.71,2.47,55.18,72.71,16.0357,Almond
417.6,24.4,313.4,7.6,0.08,0.63,1.07,10.41,6.23,61.25,66.51,17.5389,Almond
156.4,18.9,168.5,8.3,0.07,0.26,0.41,11.4,5.4,56.43,59.59,21.2222,Almond
251.4,16.4,224.5,8.2,0.07,0.38,0.69,14.5,4.5,47.74,70.11,19.3076,Almond
289.4,24.5,231.4,8.4,0.06,0.69,0.58,12.7,6.2,66.66,61.95,21.0061,Almond
376.3,28.5,384.5,8.2,0.07,0.7,0.24,8.9,3.9,57.98,60.47,20.3429,Almond
215.5,23.7,376.7,7.0,0.3,0.25,0.37,10.1,6.0,62.72,66.51,17.0783,Almond
297.5,22.5,415.5,8.1,0.09,0.53,0.78,12.4,5.3,46.26,62.66,19.3164,Almond
341.5,26.5,238.4,8.3,0.08,0.71,0.56,9.7,4.2,57.73,74.55,18.5806,Almond
254.5,28.6,368.4,8.2,0.06,0.38,0.71,8.5,3.79,54.93,75.91,15.8589,Almond
313.6,29.4,338.5,8.4,0.1,0.42,0.63,7.9,4.2,63.77,66.67,20.8191,Almond
412.5,31.1,279.4,8.1,0.1,0.73,0.61,11.0,5.3,59.91,63.2,15.4688,Almond
540.5,31.4,423.4,7.9,0.1,1.1,0.57,12.0,4.2,59.22,68.21,17.1092,Almond
431.5,26.4,367.4,8.2,0.07,0.43,0.51,13.8,3.8,51.61,60.89,19.8211,Almond
476.4,23.4,238.4,8.1,0.07,0.5,0.62,10.0,5.7,61.68,71.85,15.2575,Almond
289.4,22.7,407.5,7.8,0.08,0.38,0.64,9.8,3.7,42.92,71.03,16.354,Almond
341.5,30.4,308.4,7.7,0.09,0.47,0.53,8.7,2.9,55.49,57.62,16.4876,Almond
276.8,16.7,297.4,7.6,0.1,0.49,0.71,13.4,4.2,70.61,63.15,18.0021,Almond
310.5,14.5,317.8,7.8,0.1,0.57,0.73,7.9,3.2,55.3,72.25,16.568,Almond
356.5,23.4,431.5,7.9,0.08,0.61,0.68,9.8,4.1,62.47,61.98,15.5448,Almond
358.4,14.5,414.5,8.1,0.07,0.46,0.79,14.5,4.5,60.28,76.12,17.1286,Almond
251.4,24.5,327.4,7.9,0.08,0.31,0.86,12.8,3.9,58.67,71.94,22.0497,Almond
233.8,21.8,297.5,8.3,0.09,0.25,0.94,11.7,2.7,60.87,55.92,16.1444,Almond
188.2,16.7,224.5,7.6,0.1,0.17,1.3,15.4,4.3,74.27,67.66,20.9848,Almond
225.4,22.4,276.8,7.5,0.06,0.33,2.0,10.7,3.1,55.29,70.49,16.6896,Almond
237.8,19.4,239.4,8.3,0.08,0.26,1.0,9.8,2.7,57.79,70.97,15.3207,Almond
376.4,27.8,267.4,8.5,0.07,0.43,0.87,11.5,6.2,51.71,75.93,16.5632,Almond
258.5,20.4,248.5,8.4,0.06,0.37,0.93,8.7,3.3,71.81,71.68,19.7559,Almond
313.4,31.4,368.1,8.4,0.08,0.74,1.0,12.0,5.8,50.59,75.98,16.3791,Almond
476.5,26.7,234.5,8.3,0.09,0.57,0.67,13.7,4.3,64.63,60.08,16.3965,Almond
412.8,23.4,346.5,8.2,0.1,0.68,0.75,14.5,5.0,48.93,78.63,20.1891,Almond
406.7,34.7,408.5,8.6,0.1,0.62,0.97,10.3,6.1,45.27,61.35,22.9701,Almond
278.4,35.6,237.7,8.5,0.07,0.43,0.34,9.7,3.4,61.96,73.62,16.5291,Almond
313.6,30.4,208.7,8.4,0.09,0.69,0.46,8.4,4.0,44.36,66.66,20.0242,Almond
321.4,27.9,349.5,8.3,0.06,0.42,0.87,7.7,3.7,64.66,77.62,18.7027,Almond
297.4,26.8,363.4,7.2,0.05,0.53,1.3,10.3,2.9,72.47,61.8,22.4619,Almond
307.4,24.5,397.4,7.3,0.06,0.63,0.64,11.2,3.7,49.95,61.46,16.7423,Almond
389.5,26.7,368.5,7.4,0.07,0.71,2.0,9.7,2.4,50.52,74.72,15.0281,Almond
417.5,46.4,313.4,7.6,0.08,0.63,1.0,10.4,6.2,48.0,64.45,15.3202,Almond
181.2,18.3,36.9,7.1,0.27,0.13,1.6,3.2,0.84,56.32,73.15,17.6366,Almond
219.1,36.2,463.3,7.6,0.34,0.57,1.6,2.3,1.4,64.23,75.26,21.2864,Almond
210.1,18.5,217.3,8.0,0.17,0.27,1.2,4.9,5.5,49.63,73.86,18.2952,Almond
219.2,8.5,362.8,8.1,0.16,0.22,0.84,1.3,1.6,41.91,66.67,16.7197,Almond
272.0,23.7,412.1,7.8,0.37,0.39,0.84,3.6,6.2,59.57,55.53,21.2598,Almond
318.8,15.9,303.5,7.7,0.25,0.41,1.2,9.3,12.5,66.37,71.65,17.5261,Almond
276.9,9.8,517.4,7.9,0.12,0.43,0.9,4.5,3.6,66.2,73.09,15.2381,Almond
291.2,32.0,784.1,8.1,0.14,0.26,0.86,1.9,3.4,48.88,69.02,22.679,Almond
310.1,31.8,497.2,7.8,0.52,0.52,0.88,4.4,3.1,55.36,61.43,15.1514,Almond
270.1,27.3,529.7,7.7,0.15,0.31,0.68,1.5,2.6,48.01,64.24,20.0515,Almond
318.1,12.1,412.7,7.4,0.03,0.49,0.42,1.9,1.0,60.56,59.9,20.1981,Almond
297.2,12.2,236.1,7.2,0.15,0.52,0.81,4.4,1.2,53.72,56.18,22.1735,Almond
412.1,14.1,248.2,6.8,0.29,0.56,0.92,1.5,2.1,59.8,74.99,16.6799,Almond
114.2,18.9,301.2,7.1,0.11,0.38,0.48,2.8,9.2,55.68,79.38,19.7778,Almond
218.9,20.1,119.1,6.7,0.2,0.59,0.82,3.1,3.1,38.84,63.51,21.0528,Almond
239.1,21.1,211.1,7.7,0.28,0.42,1.8,4.8,1.9,64.97,64.38,19.1731,Almond
310.1,18.1,133.4,6.2,0.21,0.51,0.61,5.1,2.0,52.76,58.5,22.6299,Almond
336.4,21.2,312.1,7.8,0.11,0.47,0.28,2.9,2.9,61.74,73.9,21.6578,Almond
297.1,13.4,219.1,8.2,0.42,0.32,0.59,3.1,3.1,44.37,77.67,22.8485,Almond
323.1,21.2,119.8,7.1,0.05,0.67,0.82,2.8,1.1,58.62,70.21,15.621,Almond
219.1,12.1,164.1,7.6,0.09,0.29,1.2,1.1,1.0,61.04,77.28,18.4469,Almond
301.2,18.2,119.2,6.6,0.1,0.7,1.2,4.9,2.5,64.23,56.69,16.7684,Almond
315.1,15.1,201.2,7.8,0.29,0.61,1.3,13.3,2.6,62.46,62.86,19.5823,Almond
297.1,15.2,260.1,7.2,0.56,0.62,0.61,4.2,3.1,51.75,72.19,17.0691,Almond
281.2,12.1,219.1,7.1,0.14,0.49,0.43,6.1,2.8,46.95,75.9,22.0429,Almond
365.1,10.2,310.1,7.0,0.37,0.76,0.82,3.1,2.1,41.33,55.43,18.3962,Almond
201.2,14.1,204.2,7.3,0.15,0.4,0.47,2.8,3.4,59.66,79.98,21.313,Almond
259.1,23.1,219.1,6.9,0.21,0.53,0.69,3.8,11.1,54.96,60.2,18.1853,Almond
